Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,AST_TO_Ratio,ReboundActivity,PF_per_Min,GamesPlayed,Cluster_KMeans,Cluster_Hier,ClusterName_KMeans
Ben Simmons,24.99030303030303,2.8181818181818183,5.151515151515151,0.5134242424242424,0.0,0.0,0.0,0.5454545454545454,0.7878787878787878,0.1793030303030303,0.9090909090909091,4.303030303030303,5.212121212121212,6.9393939393939394,0.7878787878787878,0.48484848484848486,2.6666666666666665,2.4545454545454546,6.181818181818182,7.869696969696969,2.381313131313131,5.212121212121212,0.10421121484357365,33,1,1,Primary Playmakers (High Minutes)
Bennedict Mathurin,31.618125000000003,5.791666666666667,12.229166666666666,0.4801458333333333,1.4791666666666667,4.1875,0.38025,3.2916666666666665,4.0625,0.6889791666666666,1.2708333333333333,4.479166666666667,5.75,1.8541666666666667,0.6041666666666666,0.375,1.9375,2.4791666666666665,16.354166666666668,11.270833333333334,0.9219246031746032,5.75,0.07950079663265815,48,1,1,Primary Playmakers (High Minutes)
Bilal Coulibaly,33.306595744680855,4.48936170212766,10.553191489361701,0.400531914893617,1.0851063829787233,3.851063829787234,0.255,2.4893617021276597,3.297872340425532,0.6796595744680851,1.446808510638298,3.617021276595745,5.0638297872340425,3.5106382978723403,1.3617021276595744,0.7446808510638298,2.127659574468085,2.425531914893617,12.553191489361701,9.97872340425532,1.3894630192502533,5.0638297872340425,0.07208599667701313,47,1,1,Primary Playmakers (High Minutes)
Blake Wesley,9.27032258064516,1.2258064516129032,2.6451612903225805,0.37258064516129036,0.12903225806451613,0.6774193548387096,0.05912903225806451,0.5483870967741935,0.7419354838709677,0.27419354838709675,0.1935483870967742,0.5483870967741935,0.7419354838709677,1.935483870967742,0.45161290322580644,0.0967741935483871,0.9032258064516129,0.5161290322580645,3.129032258064516,2.7548387096774194,1.1397849462365592,0.7419354838709677,0.057937816983425955,31,0,0,Role Players / Low Usage
Bobby Portis,24.996363636363636,5.590909090909091,12.068181818181818,0.4624318181818182,1.3409090909090908,3.6363636363636362,0.3321590909090909,1.1818181818181819,1.4318181818181819,0.4693409090909091,1.7045454545454546,6.613636363636363,8.318181818181818,2.159090909090909,0.6818181818181818,0.5681818181818182,1.2727272727272727,1.7727272727272727,13.704545454545455,11.179545454545455,1.1984848484848485,8.318181818181818,0.07382831358687811,44,1,1,Primary Playmakers (High Minutes)
Bogdan Bogdanović,24.911666666666665,3.4583333333333335,9.333333333333334,0.3640833333333333,1.8333333333333333,6.083333333333333,0.3105,1.25,1.4166666666666667,0.47779166666666667,0.5,2.25,2.75,2.0416666666666665,0.8333333333333334,0.25,1.5416666666666667,2.375,10.0,5.754166666666666,1.0902777777777777,2.75,0.09664310531585406,24,0,0,Role Players / Low Usage
Bol Bol,7.202,1.4,2.6666666666666665,0.4860666666666667,0.4,1.4,0.11546666666666668,0.5333333333333333,0.8,0.23333333333333334,0.4,1.2,1.6,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.4666666666666667,0.2,3.7333333333333334,2.9466666666666668,0.23333333333333334,1.6,0.03576828113105484,15,0,0,Role Players / Low Usage
Bones Hyland,11.095,2.25,5.75,0.36585,1.55,4.0,0.32330000000000003,1.15,1.3,0.49585,0.25,0.95,1.2,1.4,0.9,0.2,1.2,1.3,7.2,4.775,0.8074999999999999,1.2,0.11801145026332167,20,0,0,Role Players / Low Usage
Bradley Beal,32.36351351351352,6.5675675675675675,13.27027027027027,0.48986486486486486,2.027027027027027,5.054054054054054,0.4045135135135135,2.189189189189189,2.7027027027027026,0.544,0.7027027027027027,2.675675675675676,3.3783783783783785,3.4324324324324325,1.1081081081081081,0.6216216216216216,1.972972972972973,2.6486486486486487,17.35135135135135,12.691891891891892,1.64009009009009,3.3783783783783785,0.08282679674179812,37,1,1,Primary Playmakers (High Minutes)
Branden Carlson,5.87764705882353,1.0,2.1176470588235294,0.4411764705882353,0.7058823529411765,1.6470588235294117,0.31764705882352945,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.29411764705882354,1.2941176470588236,1.588235294117647,0.35294117647058826,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.6470588235294118,2.823529411764706,2.570588235294118,0.3235294117647059,1.588235294117647,0.1113089429003526,17,0,0,Role Players / Low Usage
Brandin Podziemski,24.693947368421053,3.4473684210526314,8.078947368421053,0.38444736842105265,1.3157894736842106,4.026315789473684,0.32971052631578945,1.1578947368421053,1.5526315789473684,0.3469736842105263,1.0,3.6052631578947367,4.605263157894737,3.3684210526315788,0.9736842105263158,0.18421052631578946,1.0789473684210527,1.5263157894736843,9.368421052631579,8.486842105263158,2.0083333333333333,4.605263157894737,0.06705644000551984,38,1,1,Primary Playmakers (High Minutes)
Brandon Boston,25.802758620689655,4.413793103448276,9.96551724137931,0.426896551724138,1.2758620689655173,3.6551724137931036,0.3249310344827586,1.6896551724137931,2.103448275862069,0.5178275862068965,0.6206896551724138,2.793103448275862,3.413793103448276,2.8275862068965516,1.4827586206896552,0.2413793103448276,1.4482758620689655,1.7586206896551724,11.793103448275861,9.168965517241379,1.3386699507389161,3.413793103448276,0.06659254551495385,29,1,1,Primary Playmakers (High Minutes)
Brandon Boston Jr.,19.12333333333333,2.9166666666666665,7.0,0.37999999999999995,0.75,2.4166666666666665,0.29858333333333337,1.3333333333333333,1.6666666666666667,0.5208333333333334,0.75,2.0,2.75,0.8333333333333334,0.6666666666666666,0.08333333333333333,0.6666666666666666,1.5833333333333333,7.916666666666667,5.183333333333334,0.47222222222222227,2.75,0.07650864640988304,12,0,0,Role Players / Low Usage
Brandon Clarke,18.821489361702127,3.5319148936170213,5.702127659574468,0.5931702127659575,0.02127659574468085,0.3404255319148936,0.005319148936170213,0.8297872340425532,1.2127659574468086,0.31417021276595747,1.8085106382978724,3.1702127659574466,4.9787234042553195,0.9574468085106383,0.8723404255319149,0.5531914893617021,0.5957446808510638,2.4468085106382977,7.914893617021277,7.75531914893617,0.6914893617021277,4.9787234042553195,0.13156156167231645,47,0,1,Role Players / Low Usage
Brandon Ingram,33.05611111111111,8.61111111111111,18.5,0.45394444444444443,2.388888888888889,6.388888888888889,0.37877777777777777,2.611111111111111,3.0555555555555554,0.7293333333333334,0.9444444444444444,4.611111111111111,5.555555555555555,5.166666666666667,0.8888888888888888,0.6111111111111112,3.8333333333333335,2.5,22.22222222222222,14.683333333333334,1.2277777777777776,5.555555555555555,0.07655732100570418,18,1,1,Primary Playmakers (High Minutes)
Brandon Miller,34.20666666666667,7.333333333333333,18.185185185185187,0.40685185185185185,3.8518518518518516,10.851851851851851,0.3590740740740741,2.5185185185185186,2.925925925925926,0.7163333333333334,0.9259259259259259,3.925925925925926,4.851851851851852,3.6296296296296298,1.0740740740740742,0.7407407407407407,2.814814814814815,2.740740740740741,21.037037037037038,13.125925925925925,1.390432098765432,4.851851851851852,0.07848135293405696,27,1,1,Primary Playmakers (High Minutes)
Brandon Williams,7.065882352941177,0.9411764705882353,2.3529411764705883,0.31535294117647056,0.29411764705882354,0.8823529411764706,0.1274705882352941,0.5882352941176471,0.7647058823529411,0.23041176470588234,0.11764705882352941,0.6470588235294118,0.7647058823529411,1.1176470588235294,0.17647058823529413,0.0,0.5882352941176471,0.4117647058823529,2.764705882352941,1.9058823529411764,0.6274509803921569,0.7647058823529411,0.047767492112108366,17,0,0,Role Players / Low Usage
Brice Sensabaugh,17.7845,3.35,7.45,0.41187500000000005,1.7,4.525,0.290325,0.875,0.925,0.4,0.625,1.975,2.6,1.25,0.575,0.075,1.35,1.4,9.275,6.0024999999999995,0.61125,2.6,0.0782772809588831,40,0,0,Role Players / Low Usage
Bronny James,4.011875,0.25,1.5,0.1666875,0.0625,0.625,0.0625,0.3125,0.4375,0.125,0.0625,0.375,0.4375,0.4375,0.25,0.125,0.3125,0.375,0.875,0.21250000000000002,0.359375,0.4375,0.07599013220040984,16,0,0,Role Players / Low Usage
Brook Lopez,32.2494,4.62,9.76,0.46424,1.92,5.18,0.33902,1.06,1.32,0.45834,1.1,3.62,4.72,1.7,0.74,1.9,1.02,2.18,12.22,10.356,1.0233333333333332,4.72,0.06768467448159649,50,1,1,Primary Playmakers (High Minutes)
Bruce Brown,19.59277777777778,3.1666666666666665,7.277777777777778,0.3636666666666667,0.6111111111111112,2.0,0.21666666666666667,1.4444444444444444,1.6111111111111112,0.5972222222222222,0.9444444444444444,2.8333333333333335,3.7777777777777777,1.5555555555555556,0.9444444444444444,0.16666666666666666,1.0555555555555556,1.4444444444444444,8.38888888888889,6.522222222222222,0.8796296296296297,3.7777777777777777,0.07196274703522151,18,0,0,Role Players / Low Usage
Bruno Fernando,8.622941176470588,1.5294117647058822,2.8823529411764706,0.49111764705882355,0.0,0.0,0.0,0.35294117647058826,0.47058823529411764,0.17647058823529413,1.2352941176470589,1.7647058823529411,3.0,1.0588235294117647,0.23529411764705882,0.5294117647058824,0.8235294117647058,1.588235294117647,3.411764705882353,3.2411764705882353,0.8284313725490196,3.0,0.18609934142971143,17,0,0,Role Players / Low Usage
Buddy Hield,23.445882352941176,4.196078431372549,10.156862745098039,0.39492156862745104,2.588235294117647,6.980392156862745,0.339078431372549,0.7254901960784313,0.8823529411764706,0.317,0.5686274509803921,2.7058823529411766,3.2745098039215685,1.6862745098039216,0.8431372549019608,0.29411764705882354,1.2352941176470589,1.803921568627451,11.705882352941176,7.694117647058823,1.0062091503267974,3.2745098039215685,0.07702013590188056,51,0,0,Role Players / Low Usage
CJ McCollum,33.35657894736842,8.236842105263158,18.394736842105264,0.4308421052631579,3.0789473684210527,8.210526315789474,0.3393421052631579,2.4473684210526314,3.3947368421052633,0.6172894736842105,0.6842105263157895,2.9210526315789473,3.6052631578947367,3.8157894736842106,0.7894736842105263,0.5263157894736842,1.736842105263158,2.3157894736842106,22.0,14.560526315789472,1.7228070175438597,3.6052631578947367,0.06985724495560974,38,1,1,Primary Playmakers (High Minutes)
Cade Cunningham,35.67808510638298,9.574468085106384,21.148936170212767,0.45893617021276595,2.276595744680851,6.425531914893617,0.341468085106383,4.170212765957447,4.9361702127659575,0.758595744680851,0.8936170212765957,5.404255319148936,6.297872340425532,9.446808510638299,0.9787234042553191,0.7446808510638298,4.425531914893617,2.6595744680851063,25.595744680851062,19.185106382978724,1.979108716342759,6.297872340425532,0.07501562449458127,47,1,1,Primary Playmakers (High Minutes)
Caleb Houstan,11.79611111111111,0.8888888888888888,2.8333333333333335,0.20852777777777776,0.75,2.4444444444444446,0.19225,0.2777777777777778,0.3055555555555556,0.125,0.3611111111111111,0.6388888888888888,1.0,0.4166666666666667,0.19444444444444445,0.08333333333333333,0.1388888888888889,1.0,2.8055555555555554,1.6166666666666665,0.3842592592592593,1.0,0.07128178314350694,36,0,0,Role Players / Low Usage
Caleb Martin,30.42225806451613,3.2580645161290325,7.483870967741935,0.3941290322580645,1.064516129032258,2.806451612903226,0.29816129032258065,1.4838709677419355,2.3870967741935485,0.3704193548387097,1.3870967741935485,3.0,4.387096774193548,2.225806451612903,1.096774193548387,0.6451612903225806,1.3870967741935485,2.032258064516129,9.064516129032258,7.54516129032258,1.1865591397849462,4.387096774193548,0.06193970800020096,31,1,0,Primary Playmakers (High Minutes)
Cam Reddish,18.075483870967744,1.1935483870967742,2.774193548387097,0.3711935483870968,0.41935483870967744,1.4516129032258065,0.23387096774193547,0.5161290322580645,0.8387096774193549,0.2129032258064516,0.4838709677419355,1.5161290322580645,2.0,0.7419354838709677,1.0,0.3225806451612903,0.3870967741935484,1.3870967741935485,3.3225806451612905,3.3258064516129036,0.5483870967741935,2.0,0.08548183334886299,31,0,0,Role Players / Low Usage
Cam Spencer,12.078,1.3,3.0,0.37,0.5,1.6,0.2166,0.9,0.9,0.3,0.5,1.2,1.7,1.6,0.3,0.1,0.5,1.1,4.0,3.6800000000000006,0.9,1.7,0.10911489118482501,10,0,0,Role Players / Low Usage
